x,y
0.4119999999999999,-0.388
0.5920000000000001,-0.3319999999999999
-0.518,0.3799999999999999
-0.176,0.6599999999999999
-0.426,-0.85
0.008,-0.85
-0.614,0.8260000000000001
-0.502,-0.87
-0.638,-0.8260000000000001
-0.368,-0.526
0.3640000000000001,-0.386
0.294,-0.388
-0.2099999999999999,-0.848
-0.0819999999999999,-0.768
0.006,-0.53
-0.416,0.5700000000000001
0.052,-0.486
0.72,-0.656
0.264,-0.8280000000000001
-0.294,-0.484
0.3660000000000001,0.4159999999999999
-0.782,0.694
0.5960000000000001,0.6559999999999999
-0.0839999999999999,0.27
0.5940000000000001,-0.5720000000000001
0.4479999999999999,0.6559999999999999
0.6240000000000001,-0.274
0.6859999999999999,0.4199999999999999
-0.5720000000000001,-0.87
-0.708,-0.868
0.328,-0.278
0.716,0.3779999999999999
0.6319999999999999,-0.732
0.77,0.6080000000000001
0.092,-0.798
0.3700000000000001,0.2199999999999999
0.092,-0.83
-0.256,-0.85
0.2079999999999999,-0.3359999999999999
-0.746,-0.69
0.6499999999999999,0.47
-0.41,0.33
-0.758,-0.868
0.1639999999999999,0.3799999999999999
-0.644,-0.87
-0.258,-0.872
0.252,-0.5720000000000001
-0.048,0.48
-0.38,-0.8260000000000001
0.262,-0.772
0.2019999999999999,0.324
-0.5700000000000001,-0.85
-0.6719999999999999,-0.87
0.558,-0.5740000000000001
0.3720000000000001,-0.1159999999999999
0.054,-0.798
0.264,-0.85
0.714,-0.384
-0.718,-0.616
-0.498,0.692
0.1220000000000001,0.3779999999999999
-0.048,0.266
0.326,0.2179999999999999
-0.606,0.732
-0.2059999999999999,0.268
0.008,-0.87
0.3740000000000001,-0.5740000000000001
0.29,0.104
0.046,0.726
-0.048,0.3819999999999999
0.6859999999999999,0.47
0.524,0.6539999999999999
0.326,0.266
0.3660000000000001,0.3759999999999999
-0.408,-0.386
0.75,-0.734
0.3779999999999999,-0.738
-0.252,0.268
-0.046,0.4239999999999999
-0.4579999999999999,-0.8280000000000001
0.2099999999999999,-0.2319999999999999
0.1220000000000001,0.266
-0.776,-0.732
-0.692,0.4279999999999999
0.006,-0.8260000000000001
0.518,0.3759999999999999
0.328,-0.2319999999999999
-0.41,-0.482
0.548,0.268
0.744,-0.656
0.4059999999999999,0.324
-0.804,0.794
0.6859999999999999,-0.382
-0.498,-0.8280000000000001
-0.044,-0.798
-0.73,0.734
0.548,0.32
0.312,-0.85
0.1719999999999999,-0.39
0.6240000000000001,0.3799999999999999
-0.378,0.694
0.3879999999999999,-0.872
0.1220000000000001,0.326
0.1359999999999999,-0.87
-0.41,-0.618
-0.7,0.696
0.52,-0.276
0.496,-0.738
0.55,0.3779999999999999
0.482,-0.276
-0.656,-0.5640000000000001
-0.562,-0.768
-0.626,-0.5660000000000001
0.4499999999999999,0.6819999999999999
-0.2139999999999999,0.688
0.4439999999999999,-0.384
0.526,0.688
-0.374,0.2219999999999999
0.2179999999999999,-0.872
0.078,0.692
-0.2079999999999999,-0.794
0.296,0.69
0.3660000000000001,-0.278
0.482,0.32
0.084,-0.432
-0.2079999999999999,-0.766
0.714,0.32
0.088,-0.738
-0.4599999999999999,-0.85
-0.608,-0.85
-0.0819999999999999,-0.796
0.1299999999999999,-0.39
-0.786,-0.87
-0.626,0.4259999999999999
0.058,-0.868
0.798,0.73
0.6579999999999999,0.688
-0.124,-0.53
0.2079999999999999,-0.28
0.1220000000000001,0.6559999999999999
-0.2079999999999999,-0.8260000000000001
0.6479999999999999,0.322
-0.742,-0.654
0.04,0.4299999999999999
-0.17,0.1659999999999999
0.6259999999999999,-0.3279999999999999
0.4099999999999999,-0.3299999999999999
-0.172,-0.794
-0.128,-0.796
0.292,0.266
-0.418,0.6559999999999999
-0.53,-0.768
0.1779999999999999,-0.74
0.3420000000000001,-0.8280000000000001
-0.554,-0.484
-0.0939999999999999,0.694
-0.594,-0.656
-0.0819999999999999,-0.8260000000000001
0.552,-0.0699999999999999
0.1779999999999999,-0.77
-0.538,-0.85
-0.252,0.2219999999999999
-0.594,0.3799999999999999
-0.72,0.478
0.484,-0.3299999999999999
-0.252,-0.768
-0.2079999999999999,0.326
-0.386,-0.872
-0.17,-0.43
0.1319999999999999,-0.8
-0.488,-0.616
0.6859999999999999,0.322
0.484,-0.386
-0.3,-0.8240000000000001
0.05,-0.432
-0.636,-0.794
0.74,-0.424
0.722,-0.73
0.4399999999999999,0.32
0.4139999999999999,0.6499999999999999
0.4099999999999999,-0.274
0.248,0.2179999999999999
0.6559999999999999,-0.382
0.054,-0.768
-0.262,0.6599999999999999
-0.376,0.3320000000000001
0.768,-0.5680000000000001
-0.4619999999999999,-0.87
0.078,0.266
-0.3,0.6599999999999999
0.554,-0.3319999999999999
0.2099999999999999,0.688
0.74,0.474
-0.606,-0.8260000000000001
-0.706,-0.85
0.518,-0.3299999999999999
-0.368,-0.384
0.25,-0.2319999999999999
0.0,0.764
0.25,-0.0659999999999999
0.328,-0.174
-0.006,0.4239999999999999
-0.172,-0.85
0.1699999999999999,-0.278
0.74,-0.382
-0.042,-0.772
-0.374,0.27
-0.172,0.266
0.088,-0.7
0.5920000000000001,-0.386
-0.126,-0.626
-0.006,0.48
0.692,-0.694
-0.754,0.734
0.4179999999999999,-0.698
0.49,0.6519999999999999
-0.744,-0.614
0.4139999999999999,0.688
0.6599999999999999,-0.618
0.1719999999999999,-0.3379999999999999
0.49,0.6859999999999999
0.326,0.3819999999999999
0.2019999999999999,0.3779999999999999
0.52,-0.2259999999999999
0.5900000000000001,0.268
-0.54,-0.872
0.324,0.4179999999999999
0.482,0.3799999999999999
0.778,-0.734
-0.298,-0.766
-0.128,-0.8260000000000001
-0.132,0.6579999999999999
0.3440000000000001,-0.85
