IDx,IDy,Posix,Posiy,accuracy
12,8,-0.412,-0.696,
12,9,-0.412,-0.6599999999999999,
12,10,-0.41,-0.618,
12,11,-0.41,-0.5720000000000001,
12,12,-0.41,-0.53,
12,13,-0.41,-0.482,
12,14,-0.41,-0.43,
12,15,-0.408,-0.386,
12,16,-0.406,-0.3259999999999999,
12,17,-0.406,-0.272,
12,18,-0.408,-0.2279999999999999,
12,19,-0.406,-0.162,
12,20,-0.408,-0.1099999999999999,
12,21,-0.408,-0.056,
12,22,-0.408,0.002,
12,23,-0.41,0.06,
12,24,-0.408,0.1060000000000001,
12,25,-0.41,0.1679999999999999,
12,26,-0.408,0.2239999999999999,
12,27,-0.41,0.268,
12,28,-0.41,0.33,
12,29,-0.412,0.3799999999999999,
12,30,-0.416,0.4279999999999999,
12,31,-0.414,0.48,
12,32,-0.414,0.528,
12,33,-0.416,0.5700000000000001,
12,34,-0.414,0.6140000000000001,
12,35,-0.418,0.6559999999999999,
12,36,-0.42,0.69,
12,37,-0.422,0.734,
12,38,-0.426,0.768,
12,39,-0.428,0.792,
12,40,-0.432,0.8260000000000001,
12,41,-0.434,0.8480000000000001,
12,42,-0.436,0.8680000000000001,
12,43,-0.43724156905568556,0.8931965601572631,
12,44,-0.4379163855624894,0.9060444425704169,
13,0,-0.3870451010347432,-0.9065181587070849,
13,1,-0.3863256009385611,-0.8942866570719886,
13,2,-0.386,-0.872,
13,3,-0.384,-0.85,
13,4,-0.38,-0.8260000000000001,
13,5,-0.376,-0.792,
13,6,-0.374,-0.766,
13,7,-0.374,-0.734,
13,8,-0.372,-0.698,
13,9,-0.372,-0.6599999999999999,
13,10,-0.37,-0.62,
13,11,-0.368,-0.5720000000000001,
13,12,-0.368,-0.526,
13,13,-0.368,-0.482,
13,14,-0.366,-0.426,
13,15,-0.368,-0.384,
13,16,-0.368,-0.3279999999999999,
13,17,-0.364,-0.272,
13,18,-0.368,-0.2259999999999999,
13,19,-0.37,-0.166,
13,20,-0.37,-0.1079999999999999,
13,21,-0.372,-0.058,
13,22,-0.374,0.0,
13,23,-0.374,0.062,
13,24,-0.372,0.1060000000000001,
13,25,-0.372,0.1679999999999999,
13,26,-0.374,0.2219999999999999,
13,27,-0.374,0.27,
13,28,-0.376,0.3320000000000001,
13,29,-0.376,0.3799999999999999,
13,30,-0.376,0.4259999999999999,
13,31,-0.376,0.478,
13,32,-0.378,0.534,
13,33,-0.378,0.5680000000000001,
13,34,-0.38,0.6180000000000001,
13,35,-0.378,0.6559999999999999,
13,36,-0.378,0.694,
13,37,-0.382,0.736,
13,38,-0.384,0.762,
13,39,-0.388,0.79,
13,40,-0.392,0.8240000000000001,
13,41,-0.392,0.8460000000000001,
13,42,-0.396,0.8720000000000001,
13,43,-0.396304129759676,0.8943181338366059,
13,44,-0.39798649027869004,0.9066554443093758,
14,0,-0.3399178447348139,-0.9054389085628116,
14,1,-0.3399178447348139,-0.8932074069277155,
14,2,-0.3399999999999999,-0.872,
14,3,-0.3379999999999999,-0.85,
14,4,-0.3359999999999999,-0.8260000000000001,
14,5,-0.3319999999999999,-0.794,
14,6,-0.3319999999999999,-0.766,
14,7,-0.3339999999999999,-0.734,
14,8,-0.3299999999999999,-0.694,
14,9,-0.3319999999999999,-0.6599999999999999,
14,10,-0.3319999999999999,-0.616,
14,11,-0.3299999999999999,-0.5780000000000001,
14,12,-0.3279999999999999,-0.528,
14,13,-0.3279999999999999,-0.484,
14,14,-0.3259999999999999,-0.424,
14,15,-0.3279999999999999,-0.386,
